trial,chunk_action_step,action_values.0,action_values.1,action_values.2,action_values.3,action_values.4,action_values.5,predicted_action_eef_z
8,26,-1.591498613357544,75.20691680908203,-6.679505348205566,-95.79329681396484,3.041635274887085,17.9544677734375,0.25747819872439065
8,27,-2.175030469894409,74.64616394042969,-5.283824920654297,-96.7950439453125,3.402756929397583,17.900758743286133,0.254092815694081
8,28,-4.373432159423828,76.31690216064453,-4.4994916915893555,-96.737548828125,3.4848411083221436,18.131269454956055,0.25430178896085615
8,29,-4.0934367179870605,77.48138427734375,-2.5659828186035156,-98.5138168334961,3.8832128047943115,18.25653076171875,0.2512144314502466
8,30,-4.620830535888672,77.04034423828125,-4.929444313049316,-98.90052032470703,3.9040791988372803,18.046083450317383,0.2553870053169254
8,31,-4.297610282897949,78.64199829101562,-4.035216331481934,-99.0637435913086,4.12977409362793,18.238441467285156,0.25522075925361765
8,32,-5.103873252868652,78.46728515625,-4.709609031677246,-98.16060638427734,4.271047592163086,18.482025146484375,0.25658541572610327
8,33,-5.195790767669678,77.79313659667969,-2.8117027282714844,-98.70218658447266,4.135802268981934,28.318382263183594,0.2519814549639232
8,34,-4.964016914367676,75.81780242919922,-5.5444746017456055,-99.07955169677734,3.7217180728912354,21.472312927246094,0.25528720831591256
8,35,-5.7407050132751465,75.56423950195312,-4.551958084106445,-98.65016174316406,3.285456418991089,19.65750503540039,0.2531549410038103
8,36,-5.153846740722656,72.19066619873047,-5.621513366699219,-100.07388305664062,2.0894219875335693,18.66415786743164,0.2512149268415948
8,37,-4.72434663772583,69.00120544433594,-7.603351593017578,-100.78277587890625,1.3502225875854492,18.676130294799805,0.2514572945920974
8,38,-4.051877498626709,67.51224517822266,-10.540149688720703,-99.30836486816406,1.3021843433380127,18.90015983581543,0.25616250239869554
8,39,-4.0712175369262695,69.75041961669922,-8.5519437789917,-98.79655456542969,1.3975436687469482,18.959331512451172,0.2548277455128636
8,40,-4.335577487945557,69.19257354736328,-10.105120658874512,-95.08598327636719,1.8590388298034668,18.705551147460938,0.2578050230740427
8,41,-4.241430282592773,70.38835144042969,-7.920317649841309,-94.16153717041016,2.3862340450286865,18.80255126953125,0.25511702231775607
8,42,-4.830169677734375,74.35488891601562,-6.842893600463867,-93.41203308105469,2.1095454692840576,18.538070678710938,0.257152638449633
8,43,-6.303143501281738,76.88430786132812,-4.209400177001953,-93.65399932861328,1.7835962772369385,18.29247283935547,0.25480555677623684
8,44,-6.1789751052856445,74.7989730834961,-5.647699356079102,-93.34214782714844,2.488835573196411,18.427654266357422,0.25543687749778804
8,45,-7.244023323059082,75.51496887207031,-5.872191429138184,-92.06510925292969,2.72602915763855,18.098020553588867,0.25658305241146273
8,46,-9.384366035461426,78.33731079101562,-6.722162246704102,-90.55358123779297,2.862927198410034,18.589153289794922,0.2604834573062086
8,47,-12.169744491577148,78.62711334228516,-8.584735870361328,-89.48384857177734,3.8853280544281006,22.50518798828125,0.2635250826838565
8,48,-15.02733325958252,77.22066497802734,-11.671393394470215,-87.77534484863281,4.151955604553223,19.7063045501709,0.2665318185690555
8,49,-14.593302726745605,76.71298217773438,-11.95767593383789,-89.07136535644531,4.005008697509766,19.295682907104492,0.2669690062640757
9,0,-7.507783889770508,63.82855224609375,-65.3594970703125,-88.18962097167969,-4.03447961807251,15.751361846923828,0.29267786472718055
9,1,-7.437440872192383,62.94426345825195,-64.66035461425781,-88.73355865478516,-4.661595344543457,15.757946014404297,0.29370602516581945
9,2,-6.603116989135742,63.0781364440918,-55.8057861328125,-91.30699157714844,-5.097038745880127,15.83537483215332,0.2980095565835603
9,3,-6.059013366699219,60.76390075683594,-53.61061477661133,-93.00780487060547,-5.136005401611328,16.64133644104004,0.2989855146887707
9,4,-6.6103057861328125,60.19022750854492,-54.08406066894531,-91.88829803466797,-5.707409381866455,16.68914031982422,0.29755247708857857
9,5,-6.614716529846191,58.613426208496094,-55.37163543701172,-91.03506469726562,-5.474151611328125,16.385730743408203,0.2963228128910953
9,6,-6.56722354888916,55.58518981933594,-57.05501174926758,-91.03878021240234,-5.59439754486084,16.825220108032227,0.2957270780532202
9,7,-5.475677490234375,53.38877868652344,-63.80889892578125,-90.06436157226562,-5.014700412750244,17.159568786621094,0.2945549183668969
9,8,-5.19447660446167,53.853065490722656,-65.18937683105469,-90.26493835449219,-5.4014892578125,18.07516860961914,0.2948672964356067
9,9,-4.0086588859558105,53.16677474975586,-64.05147552490234,-91.76082611083984,-5.4118242263793945,17.712718963623047,0.2968794442788028
9,10,-2.4125730991363525,54.03482437133789,-62.035972595214844,-92.16407775878906,-5.245749473571777,17.656330108642578,0.29755796663740214
9,11,-1.6482431888580322,54.64006423950195,-62.0282096862793,-93.0213851928711,-4.3829193115234375,17.603063583374023,0.2989111006946817
9,12,-1.238149881362915,54.740516662597656,-61.913116455078125,-93.80130767822266,-4.139786243438721,17.65764808654785,0.29996873516304323
9,13,-0.9824264049530029,54.518211364746094,-61.02165603637695,-94.29005432128906,-3.7950196266174316,17.63918113708496,0.30041286821443175
9,14,0.17451834678649902,54.97663879394531,-56.63282012939453,-94.14913177490234,-3.3415141105651855,17.664228439331055,0.29926666043739236
9,15,0.8985776901245117,55.477149963378906,-52.721351623535156,-95.65385437011719,-3.124701738357544,17.75369644165039,0.29941876640030196
9,16,0.7562618255615234,56.98381805419922,-47.00864791870117,-96.32221984863281,-2.931025505065918,17.874483108520508,0.2971421342208256
9,17,0.2740137577056885,62.925968170166016,-36.23576354980469,-97.85272216796875,-2.691371440887451,18.011457443237305,0.29198427282580247
9,18,-0.1443943977355957,63.15034484863281,-31.76099395751953,-99.55696868896484,-2.5069539546966553,18.098831176757812,0.2874546236301893
9,19,-1.0080718994140625,65.88459014892578,-23.765243530273438,-100.6939697265625,-1.7423838376998901,18.283126831054688,0.2782978831349935
9,20,-0.3214106559753418,68.09528350830078,-17.513246536254883,-102.40799713134766,-1.3344045877456665,18.407854080200195,0.26964939862397097
9,21,0.11121916770935059,67.55904388427734,-16.531082153320312,-101.42220306396484,-0.8471647500991821,18.677024841308594,0.26735785081425995
9,22,0.43537068367004395,65.08975219726562,-17.19841766357422,-99.57464599609375,-0.29511404037475586,18.346750259399414,0.2661359497611148
9,23,0.5446681976318359,67.50492095947266,-10.950154304504395,-99.05162048339844,0.1912834644317627,18.410037994384766,0.25702281017922984
9,24,0.08327388763427734,69.59718322753906,-9.958586692810059,-97.26610565185547,1.4598820209503174,18.17734146118164,0.25769433997683705
9,25,-1.233193278312683,72.2413558959961,-7.265657424926758,-96.32971954345703,2.037248373031616,17.96670150756836,0.255500397033822
9,26,-1.591498613357544,75.20691680908203,-6.679505348205566,-95.79329681396484,3.041635274887085,17.9544677734375,0.25747819872439065
9,27,-2.175030469894409,74.64616394042969,-5.283824920654297,-96.7950439453125,3.402756929397583,17.900758743286133,0.254092815694081
9,28,-4.373432159423828,76.31690216064453,-4.4994916915893555,-96.737548828125,3.4848411083221436,18.131269454956055,0.25430178896085615
9,29,-4.0934367179870605,77.48138427734375,-2.5659828186035156,-98.5138168334961,3.8832128047943115,18.25653076171875,0.2512144314502466
9,30,-4.620830535888672,77.04034423828125,-4.929444313049316,-98.90052032470703,3.9040791988372803,18.046083450317383,0.2553870053169254
9,31,-4.297610282897949,78.64199829101562,-4.035216331481934,-99.0637435913086,4.12977409362793,18.238441467285156,0.25522075925361765
9,32,-5.103873252868652,78.46728515625,-4.709609031677246,-98.16060638427734,4.271047592163086,18.482025146484375,0.25658541572610327
9,33,-5.195790767669678,77.79313659667969,-2.8117027282714844,-98.70218658447266,4.135802268981934,28.318382263183594,0.2519814549639232
9,34,-4.964016914367676,75.81780242919922,-5.5444746017456055,-99.07955169677734,3.7217180728912354,21.472312927246094,0.25528720831591256
9,35,-5.7407050132751465,75.56423950195312,-4.551958084106445,-98.65016174316406,3.285456418991089,19.65750503540039,0.2531549410038103
9,36,-5.153846740722656,72.19066619873047,-5.621513366699219,-100.07388305664062,2.0894219875335693,18.66415786743164,0.2512149268415948
9,37,-4.72434663772583,69.00120544433594,-7.603351593017578,-100.78277587890625,1.3502225875854492,18.676130294799805,0.2514572945920974
9,38,-4.051877498626709,67.51224517822266,-10.540149688720703,-99.30836486816406,1.3021843433380127,18.90015983581543,0.25616250239869554
9,39,-4.0712175369262695,69.75041961669922,-8.5519437789917,-98.79655456542969,1.3975436687469482,18.959331512451172,0.2548277455128636
9,40,-4.335577487945557,69.19257354736328,-10.105120658874512,-95.08598327636719,1.8590388298034668,18.705551147460938,0.2578050230740427
9,41,-4.241430282592773,70.38835144042969,-7.920317649841309,-94.16153717041016,2.3862340450286865,18.80255126953125,0.25511702231775607
9,42,-4.830169677734375,74.35488891601562,-6.842893600463867,-93.41203308105469,2.1095454692840576,18.538070678710938,0.257152638449633
9,43,-6.303143501281738,76.88430786132812,-4.209400177001953,-93.65399932861328,1.7835962772369385,18.29247283935547,0.25480555677623684
9,44,-6.1789751052856445,74.7989730834961,-5.647699356079102,-93.34214782714844,2.488835573196411,18.427654266357422,0.25543687749778804
9,45,-7.244023323059082,75.51496887207031,-5.872191429138184,-92.06510925292969,2.72602915763855,18.098020553588867,0.25658305241146273
9,46,-9.384366035461426,78.33731079101562,-6.722162246704102,-90.55358123779297,2.862927198410034,18.589153289794922,0.2604834573062086
9,47,-12.169744491577148,78.62711334228516,-8.584735870361328,-89.48384857177734,3.8853280544281006,22.50518798828125,0.2635250826838565
9,48,-15.02733325958252,77.22066497802734,-11.671393394470215,-87.77534484863281,4.151955604553223,19.7063045501709,0.2665318185690555
9,49,-14.593302726745605,76.71298217773438,-11.95767593383789,-89.07136535644531,4.005008697509766,19.295682907104492,0.2669690062640757
